"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
3255945,2,-0.404694101093197,0.39,"deep",1,NA,-25.5500008664805,-0.44999999236849
3257189,8,0.247483866566506,1.675,"deep",1,NA,98.8500033523129,-0.44999999236849
3259361,3,-0.577766011038637,0.2,"shelf",3,0.191873727699817,-43.9500014904821,-0.549999990672589
3259362,1,-0.0222763947111523,0.94,"deep",1,NA,-43.8500014870908,-0.549999990672589
3260789,1,0.472756449317212,2.96,"deep",1,NA,98.8500033523129,-0.549999990672589
3261419,1,-0.721246399047171,0.18,"deep",1,NA,161.85000548884,-0.549999990672589
3262580,1,0.0413926851582251,1.09,"deep",1,NA,-82.0500027825723,-0.649999988976703
3263114,2,-0.419016691817963,0.375,"deep",1,NA,-28.6500009716112,-0.649999988976703
3263351,1,-0.0315170514460649,0.92,"deep",1,NA,-4.95000016787,-0.649999988976703
3263481,1,-0.0655015487564323,0.85,"deep",1,NA,8.05000027300071,-0.649999988976703
3263484,3,0.31151266684673,1.51,"deep",1,NA,8.35000028317464,-0.649999988976703
3264392,10,0.261859248099441,1.84,"deep",1,NA,99.1500033624868,-0.649999988976703
3264398,9,0.368860809830936,2.3,"deep",1,NA,99.7500033828348,-0.649999988976703
3266518,1,0.190331698170291,1.54,"shelf",1,NA,-48.2500016363085,-0.749999987280816
3266519,1,0.170261715394957,1.47,"shelf",1,NA,-48.1500016329172,-0.749999987280816
3267069,2,-0.204746268995708,0.67,"deep",1,NA,6.85000023230495,-0.749999987280816
3267070,2,-0.154901959985743,0.69,"deep",1,NA,6.95000023569625,-0.749999987280816
3267993,10,0.145326990019538,1.485,"deep",1,NA,99.2500033658782,-0.749999987280816
3270118,1,0.123851640967086,1.32,"shelf",1,NA,-48.2500016363085,-0.849999985584915
3270438,1,-0.42021640338319,0.37,"deep",1,NA,-16.2500005510884,-0.849999985584915
3271500,1,-0.481486060122112,0.32,"deep",1,NA,89.9500030504861,-0.849999985584915
3272221,1,0.0827853703164501,1.2,"deep",1,NA,162.050005495623,-0.849999985584915
3272320,1,0.107209969647868,1.27,"deep",1,NA,171.950005831363,-0.849999985584915
3272865,1,-0.494850021680094,0.31,"deep",1,NA,-133.550004529099,-0.949999983889029
3272866,1,-0.494850021680094,0.31,"deep",1,NA,-133.450004525707,-0.949999983889029
3273349,1,0.442479769064448,2.76,"deep",1,NA,-85.150002887703,-0.949999983889029
3273800,2,-0.366531544420413,0.42,"deep",1,NA,-40.0500013582209,-0.949999983889029
3273813,1,-1,0.09,"deep",1,NA,-38.7500013141338,-0.949999983889029
3274107,2,-0.408935392973501,0.38,"deep",2,NA,-9.35000031708776,-0.949999983889029
3275183,11,0.220741482683061,1.64,"deep",1,NA,98.2500033319651,-0.949999983889029
3276851,2,0.181080956748456,1.51,"deep",1,NA,-94.9500032200517,-1.04999998219314
3276861,1,0.155336037465062,1.42,"deep",1,NA,-93.9500031861386,-1.04999998219314
3276881,1,0.4983105537896,3.14,"deep",1,NA,-91.9500031183123,-1.04999998219314
3276882,1,0.4983105537896,3.14,"deep",1,NA,-91.850003114921,-1.04999998219314
3277373,1,-0.359021942641668,0.4275,"deep",1,NA,-42.7500014497863,-1.04999998219314
3279401,1,-0.00877392430750515,0.97,"deep",1,NA,160.050005427796,-1.04999998219314
3280550,1,0.540329474790874,3.46,"deep",1,NA,-85.0500028843117,-1.14999998049724
3280966,2,0.036529080494418,1.105,"deep",2,NA,-43.4500014735255,-1.14999998049724
3281051,2,-0.42021640338319,0.37,"deep",1,NA,-34.9500011852639,-1.14999998049724
3281282,1,-0.698970004336019,0.19,"deep",1,NA,-11.8500004018706,-1.14999998049724
3281283,1,-0.443697499232713,0.35,"deep",1,NA,-11.7500003984793,-1.14999998049724
3281293,1,-0.481486060122112,0.32,"deep",1,NA,-10.7500003645661,-1.14999998049724
3282380,11,-0.3639953685462,0.42,"deep",1,NA,97.9500033217911,-1.14999998049724
3283772,1,0.356025857193123,2.26,"deep",1,NA,-122.850004166228,-1.24999997880136
3284145,1,0.225309281725863,1.67,"deep",1,NA,-85.5500029012683,-1.24999997880136
3284759,1,-0.3767507096021,0.41,"deep",1,NA,-24.1500008190021,-1.24999997880136
3284905,2,-0.724702396255336,0.1785,"deep",1,NA,-9.55000032387039,-1.24999997880136
3285088,2,-0.522878745280338,0.29,"shelf",1,NA,8.7500002967399,-1.24999997880136
3287556,1,-0.552841968657781,0.27,"deep",1,NA,-104.450003542226,-1.34999997710545
3288170,1,-0.258927227626679,0.5409,"deep",1,NA,-43.0500014599603,-1.34999997710545
3288481,3,-0.148741651280925,0.7,"deep",2,NA,-11.9500004052619,-1.34999997710545
3293202,17,0.276304564592558,1.83,"deep",1,NA,100.1500033964,-1.44999997540957
3294947,1,-0.314258261397736,0.475,"deep",1,NA,-85.3500028944857,-1.54999997371368
3295367,1,-0.318758762624413,0.47,"shelf",1,NA,-43.3500014701342,-1.54999997371368
3295370,1,-0.24841299491769,0.5544,"deep",1,NA,-43.0500014599603,-1.54999997371368
3298541,1,0.313867220369153,2.05,"deep",1,NA,-85.9500029148335,-1.64999997201778
3298965,1,-0.207608310501746,0.61,"shelf",1,NA,-43.5500014769168,-1.64999997201778
3299155,2,-0.267606240177031,0.53,"deep",1,NA,-24.5500008325673,-1.64999997201778
3299276,4,-0.514132306873411,0.37,"deep",1,NA,-12.4500004222185,-1.64999997201778
3300397,8,0.208273901156169,1.6,"deep",1,NA,99.6500033794434,-1.64999997201778
3300975,1,-0.0268721464003013,0.93,"deep",1,NA,157.450005339622,-1.64999997201778
3302875,2,-0.853871964321762,0.13,"deep",1,NA,-12.5500004256098,-1.74999997032189
