"region","lon","lat","obs","pred","e2","DI","AOA","dist_km","depth","exp_C0","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5"
1,-45.6500015481344,-31.8499994598584,-0.119186407719209,-0.339849312666462,0.0486921176197605,0.190397598936659,1,236.655234862376,3742.125,0.32537260832185,0.367066520431651,0.329689269236,0.325426063807369,0.298537271732122,0.287587048167094
1,-71.9500024400497,-31.9499994581625,-0.0362121726544447,0.364244103145227,0.160365228827343,0.23440362039516,1,1635.31048084313,2459.35424804688,0.350219394636275,0.377017460259835,0.358084684388307,0.418533289512466,0.321906316067164,0.313317552315431
1,-71.6500024298758,-31.9499994581625,-0.0268721464003013,0.417380970046797,0.197360831472959,0.194279234177758,1,1642.61332794057,453.965270996094,0.327069370808894,0.368240717016658,0.343110890874116,0.408695289319941,0.344976294520245,0.355843026991978
1,-72.2500024502237,-32.2499994530748,-0.130768280269024,0.298730548907775,0.184469244264241,0.238547594777432,1,1661.01387147375,3486.4931640625,0.353211088795072,0.377646227245633,0.360185981998467,0.406213021451085,0.315544999140963,0.311837964346182
1,-71.9500024400497,-32.2499994530748,-0.193820026016113,0.387188659484906,0.337571092627622,0.241612821117131,1,1667.64049116556,1676.27783203125,0.355496919115075,0.37808677680711,0.361505883505029,0.428387627171138,0.332329298108447,0.320517815238645
1,-73.650002497702,-32.5499994479871,-0.244125144327509,0.0181539659198553,0.0687903316721491,0.150374724379171,1,1670.11842199872,3971.8125,0.31187763336902,0.349736707688331,0.327794342909171,0.310662203012632,0.282120229888329,0.295683024542314
1,-50.2500017041348,-32.5499994479871,0.0569048513364726,-0.176248880463123,0.054360662652078,0.205336405406485,1,488.946288144776,630.263916015625,0.332402567159183,0.371233784108219,0.337509737812517,0.311934484130828,0.341153009698082,0.33705593708986
1,-50.1500017007435,-32.6499994462912,-0.0315170514460649,0.0582210165641572,0.00805292085020724,0.217398666822431,1,492.136225000084,946.569458007812,0.339124678427808,0.373962281543094,0.3419158386369,0.335273443905039,0.33631875531422,0.324093236760276
1,-72.050002443441,-32.7499994445953,0.0827853703164501,0.40753606225998,0.105463011917801,0.270551624211368,1,1719.42434554051,2513.95141601562,0.380160265232882,0.38151734583,0.374005931162019,0.451045097304461,0.332144708252742,0.321988740492357
1,-72.4500024570063,-32.8499994428994,0.0293837776852097,0.343740335254749,0.0988200452869709,0.222733055698527,1,1722.12406403782,3033.9375,0.3424009430953,0.375011342215298,0.355330247217952,0.40858519839185,0.312791361644784,0.308485018905434
1,-72.1500024468323,-32.8499994428994,0.0791812460476248,0.424409647356039,0.119182649069963,0.21411452865982,1,1728.13210980725,2521.57641601562,0.337200234918332,0.373270383880643,0.352175846727673,0.422281122677659,0.313785165764888,0.308024200288107
