"station","lon","lat","depth_m","campaign","survey","set","ignorance","bio_DI_over_threshold","bio_models_inside_AOA"
"CAMPANHA01_SANSED02_Inverno_P_P01",-43.99,-25.68,2170,1,"2019 (Survey 1)","train",0.345052234848322,0.54247357365873,12
"CAMPANHA01_SANSED02_Inverno_P_P02",-43.83,-25.96,2247,1,"2019 (Survey 1)","train",0.372838372590007,0.405555838794075,12
"CAMPANHA02_SANSED07_Verao_P_P02",-43.83,-25.96,2247,2,"2021 (Survey 2)","train",0.543284684773778,0.443526236959288,12
"CAMPANHA01_SANSED03_Inverno_P_P03",-43.87,-24.89,1720,1,"2019 (Survey 1)","train",0.260370886638376,0.390518454599789,12
"CAMPANHA02_SANSED07_Verao_P_P03",-43.87,-24.89,1720,2,"2021 (Survey 2)","test",0.191754203850987,0.447899270191128,12
"CAMPANHA01_SANSED03_Inverno_P_P04",-43.73,-25.16,2106,1,"2019 (Survey 1)","train",0.246840998668778,0.280875876829776,12
"CAMPANHA02_SANSED07_Verao_P_P04",-43.73,-25.16,2106,2,"2021 (Survey 2)","train",0.688569053510598,0.435967996748694,12
"CAMPANHA01_SANSED03_Inverno_P_P05",-43.56,-25.48,2185,1,"2019 (Survey 1)","train",0.300093811488749,0.306411773679869,12
"CAMPANHA02_SANSED07_Verao_P_P05",-43.56,-25.48,2185,2,"2021 (Survey 2)","train",0.308622721002028,0.408871331738071,12
"CAMPANHA01_SANSED03_Inverno_P_P06",-43.37,-25.79,2135,1,"2019 (Survey 1)","test",0.477919459879693,0.317027498084528,12
"CAMPANHA02_SANSED07_Verao_P_P06",-43.37,-25.79,2135,2,"2021 (Survey 2)","test",0.313835576863702,0.489356994213382,12
"CAMPANHA01_SANSED03_Inverno_P_P07",-43.08,-25.24,2217,1,"2019 (Survey 1)","test",0.349658569174385,0.245664690923212,12
"CAMPANHA02_SANSED08_Verao_P_P07",-43.08,-25.24,2217,2,"2021 (Survey 2)","test",0.335697745577893,0.474108538292933,12
"CAMPANHA01_SANSED03_Inverno_P_P08",-42.92,-25.56,2140,1,"2019 (Survey 1)","train",0.302652407420341,0.284627122993498,12
"CAMPANHA02_SANSED07_Verao_P_P08",-42.92,-25.56,2140,2,"2021 (Survey 2)","train",0.385216097463282,0.429082281381561,12
"CAMPANHA01_SANSED03_Inverno_P_P09",-42.9033333333333,-24.43,1435,1,"2019 (Survey 1)","train",0.316066680650781,0.391360661586918,12
"CAMPANHA02_SANSED08_Verao_P_P09",-42.9033333333333,-24.43,1435,2,"2021 (Survey 2)","train",0.318318666536202,0.444610829835703,12
"CAMPANHA01_SANSED03_Inverno_P_P10",-42.8,-24.67,1973,1,"2019 (Survey 1)","train",0.343868157862561,0.350667848462124,12
"CAMPANHA02_SANSED08_Verao_P_P10",-42.8,-24.67,1973,2,"2021 (Survey 2)","train",0.271183531606536,0.389767424342996,12
"CAMPANHA01_SANSED04_Inverno_P_P11",-42.56,-25.06,2260,1,"2019 (Survey 1)","train",0.461272151052441,0.459332648075613,12
"CAMPANHA02_SANSED08_Verao_P_P11",-42.56,-25.06,2260,2,"2021 (Survey 2)","train",0.281885729569319,0.47987923775051,12
"CAMPANHA01_SANSED04_Inverno_P_P12",-42.38,-25.39,2198,1,"2019 (Survey 1)","train",0.577492307839149,0.407287462376951,12
"CAMPANHA02_SANSED08_Verao_P_P12",-42.38,-25.39,2198,2,"2021 (Survey 2)","train",0.474254511293817,0.391597492230464,12
