"cell","x_lon","y_lat","n_records","n_sites","y","toc_median","y_sd","mask","sbt_mean","sbt_min","sbt_max","sbs_mean","o2b_mean","sst_mean","sss_mean","chl_mean","phyc_bot","sws_bot","depth","slope","tri","tpi","dist_coast_km","poc_surf","poc_flux","river_poc","river_tss","sed_thick","gs_d50","gs_d16","porosity","litho_gs","litho_t1","litho_t2","litho_t3","litho_t4","litho_t5","litho_t6","block","fold","region"
1793906,-69.4500023552669,40.1499993190993,2,2,-0.763621775341394,0.18,NA,"shelf",11.761568069458,6.45334434509277,17.6741333007812,34.5670471191406,209.620239257812,13.6490907669067,33.2679481506348,-0.137746691703796,0.136505737900734,-1.78874528408051,86.4861145019531,-1.29933655261993,0.602813363075256,1.45225548744202,2.29160070419312,2.10522317886353,2.10522317886353,-3.53274083137512,-1.75814485549927,3.84388947486877,-1.03656136989594,-1.4185346364975,52.5022735595703,0.0968562513589859,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793908,-69.2500023484843,40.1499993190993,1,1,-0.619788758288394,0.23,NA,"shelf",12.3985824584961,8.05521678924561,16.4644794464111,35.0997543334961,196.017456054688,13.9472780227661,33.4209136962891,-0.140685811638832,-0.103557758033276,-2.22217965126038,99.5833358764648,-0.878491580486298,0.898351788520813,2.81163191795349,2.30946588516235,2.11151099205017,2.11151099205017,-3.91987133026123,-1.81019520759583,3.86245894432068,-1.01554942131042,-1.34230434894562,55.3034477233887,0.0955588594079018,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793910,-69.0500023417016,40.1499993190993,6,5,-0.395887803877885,0.3,0.210929084955278,"shelf",12.4129190444946,8.8698148727417,15.6975908279419,35.4118804931641,182.651260375977,14.4604644775391,33.6568908691406,-0.14577628672123,-0.483254700899124,-2.11970400810242,217.763885498047,-0.100024938583374,1.85530138015747,-30.6718769073486,2.32870984077454,2.09220743179321,1.80221557617188,-3.93805360794067,-1.97251784801483,3.88016247749329,-0.993059277534485,-1.28107845783234,60.5233917236328,0.0950138419866562,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793912,-68.850002334919,40.1499993190993,1,1,-0.568636235841013,0.26,NA,"deep",12.4726648330688,8.6738166809082,15.989559173584,35.4464683532715,181.006652832031,14.7813053131104,33.8074417114258,-0.152456060051918,-0.520400643348694,-1.95630395412445,182.270843505859,0.0885494872927666,1.92505502700806,33.0486030578613,2.34887719154358,2.06452822685242,1.84083294868469,-4.2095422744751,-2.3826539516449,3.83255171775818,-0.975208759307861,-1.24800133705139,63.5584602355957,0.0950138419866562,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793916,-68.4500023213538,40.1499993190993,1,1,-0.259637310505756,0.54,NA,"deep",8.44928455352783,5.56387901306152,11.5517482757568,35.1850051879883,184.011825561523,15.6784782409668,34.1673622131348,-0.166685715317726,-1.23881244659424,-1.23642349243164,636.222229003906,0.600219905376434,2.556232213974,-3.92708587646484,2.39055061340332,2.08192777633667,1.39243137836456,-4.73934698104858,-3.26389455795288,3.7463972568512,-0.969097554683685,-1.20334577560425,66.2626953125,0.0590231828391552,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793918,-68.2500023145711,40.1499993190993,1,1,-0.568636235841013,0.26,NA,"deep",4.95635890960693,3.48795700073242,6.54382419586182,34.9807510375977,224.894073486328,16.1625289916992,34.3425216674805,-0.175809442996979,-1.51994359493256,-0.905118525028229,1235.24304199219,0.715044140815735,2.58939480781555,-80.0720443725586,2.41152405738831,2.08742833137512,1.15070486068726,-4.7478141784668,-3.27687239646912,3.7574782371521,-0.960436701774597,-1.19612646102905,70.0202407836914,-0.164118096232414,0,1,0,0,0,0,"-6 4",4,"6 NW Atlantic"
1793919,-68.1500023111798,40.1499993190993,3,2,-0.225112310670721,0.56,NA,"deep",4.19084548950195,3.16534113883972,5.14546775817871,34.9622421264648,246.566864013672,16.3429508209229,34.4049911499023,-0.178378075361252,-1.52944540977478,-0.881601214408875,1473.05554199219,0.688486635684967,2.53980755805969,-13.3203048706055,2.42196297645569,2.08839249610901,1.08606040477753,-4.75064563751221,-3.28130722045898,3.74213576316833,-0.964230477809906,-1.20036888122559,70.2173385620117,-0.325497359037399,0.121423289179802,0.175504043698311,0.703072667121887,0,0,0,"-6 4",4,"6 NW Atlantic"
1793921,-67.9500023043972,40.1499993190993,1,1,0.0863598306747482,1.21,NA,"deep",5.6946964263916,3.01853609085083,4.49309158325195,35.054988861084,237.955749511719,16.647668838501,34.5054626464844,-0.182077899575233,-1.35015022754669,-1.20200192928314,1832.51391601562,0.536649644374847,2.4113655090332,-49.3064460754395,2.44264578819275,2.09139132499695,1.00769662857056,-4.75544261932373,-3.30354809761047,3.71866965293884,-0.979476153850555,-1.2118935585022,71.9499435424805,-1.01205658912659,0,0,1,0,0,0,"-6 4",4,"6 NW Atlantic"
1793923,-67.7500022976146,40.1499993190993,1,1,0.0293837776852097,1.06,NA,"deep",5.1298623085022,3.03493809700012,4.52620697021484,35.0265731811523,243.707427978516,16.8572196960449,34.5726089477539,-0.185121908783913,-1.41206312179565,-1.13008940219879,1834.22912597656,0.610505163669586,2.51091599464417,57.3767356872559,2.46299314498901,2.09407806396484,1.01003479957581,-4.75265073776245,-3.40557527542114,3.69598436355591,-1.0092316865921,-1.23752057552338,71.4238357543945,-1.22170948982239,0,0.980989038944244,0,0.0190109461545944,0,0,"-6 4",4,"6 NW Atlantic"
1793933,-66.7500022637014,40.1499993190993,1,1,-0.292429823902064,0.5,NA,"deep",2.78291964530945,2.41827726364136,3.19027137756348,34.9326934814453,271.410278320312,17.6725425720215,34.8707504272461,-0.216307282447815,-1.57833611965179,-1.02165997028351,2692.65283203125,0.131399050354958,1.94834685325623,23.7230682373047,2.55787539482117,2.05728363990784,0.830188810825348,-4.74541330337524,-3.77820348739624,3.63036894798279,-1.12664091587067,-1.35864186286926,74.0726623535156,-1.60813808441162,0,0,1,0,0,0,"-6 4",4,"6 NW Atlantic"
